"new Date(2015, 09 - 1, 14)",775
"new Date(2015, 09 - 1, 13)",1256
"new Date(2015, 09 - 1, 12)",1523
"new Date(2015, 09 - 1, 11)",3465
"new Date(2015, 09 - 1, 10)",4006
"new Date(2015, 09 - 1, 09)",3303
"new Date(2015, 09 - 1, 08)",3486
"new Date(2015, 09 - 1, 07)",2084
"new Date(2015, 09 - 1, 06)",1369
"new Date(2015, 09 - 1, 05)",1252
"new Date(2015, 09 - 1, 04)",2916
"new Date(2015, 09 - 1, 03)",2962
"new Date(2015, 09 - 1, 02)",2596
"new Date(2015, 09 - 1, 01)",3164
"new Date(2015, 08 - 1, 31)",2578
"new Date(2015, 08 - 1, 30)",1459
"new Date(2015, 08 - 1, 29)",1326
"new Date(2015, 08 - 1, 28)",2691
"new Date(2015, 08 - 1, 27)",2131
"new Date(2015, 08 - 1, 26)",2503
"new Date(2015, 08 - 1, 25)",2450
"new Date(2015, 08 - 1, 24)",2237
"new Date(2015, 08 - 1, 23)",945
"new Date(2015, 08 - 1, 22)",1062
"new Date(2015, 08 - 1, 21)",1835
"new Date(2015, 08 - 1, 20)",1975
"new Date(2015, 08 - 1, 19)",1706
"new Date(2015, 08 - 1, 18)",1646
"new Date(2015, 08 - 1, 17)",1310
"new Date(2015, 08 - 1, 16)",527
